Top 50 Sort By Count
Count     Total    Mean  Stddev    Min  P50.0  P99.0  P99.9    Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    1     0.275  0.2750  0.0000  0.275  0.275  0.275  0.275  0.275      1    0    0    0          18         18         18         18  POST /initialize HTTP/2.0
   41     0.154  0.0038  0.0009  0.001  0.004  0.006  0.006  0.006     41    0    0    0      300853        507       7337       8036  GET /api/courses?page=* HTTP/2.0
   60     0.070  0.0012  0.0005  0.000  0.001  0.002  0.002  0.002     60    0    0    0       31918         38        531       1313  GET /api/announcements?course_id=* HTTP/2.0
    2     0.006  0.0030  0.0000  0.003  0.003  0.003  0.003  0.003      2    0    0    0       15088       7544       7544       7544  GET /api/courses HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        3409       3409       3409       3409  GET /api/courses?period=* HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        4831       4831       4831       4831  GET /api/courses?credit=* HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        7544       7544       7544       7544  GET /api/courses?status=* HTTP/2.0
    2     0.001  0.0005  0.0005  0.000  0.001  0.001  0.001  0.001      2    0    0    0       11301       3757       5650       7544  GET /api/courses?page=*&status=* HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        2744       2744       2744       2744  GET /api/courses?day_of_week=* HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0         504        504        504        504  GET /api/courses?credit=*&day_of_week=*&keywords=*&period=*&status=*&teacher=*&type=* HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0    72736248     460356     460356     460356  GET /_nuxt/app.js HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0      377146       2387       2387       2387  GET / HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0      240792       1524       1524       1524  GET /_nuxt/runtime.js HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0     4199640      26580      26580      26580  GET /_nuxt/css/app.css HTTP/2.0
